,website,in_sfdc
208,vivolife.co.uk,True
209,danalevy.co.uk,True
210,dancewithlove.co.uk,False
211,dancexclusive.co.uk,True
212,dandylionsboutique.co.uk,False
213,daoyogi.co.uk,False
214,dappe.co.uk,False
215,dapperbeast.co.uk,False
216,dapperdog.co.uk,True
217,dapperdoggie.co.uk,False
218,dapperfox.co.uk,False
219,dapperrogue.co.uk,False
220,davedraws.co.uk,False
221,davidaustinroses.co.uk,False
222,davidlushbutchers.co.uk,False
223,davidsummerfield.co.uk,True
224,dawnofaquarius.co.uk,False
225,dawnsflowerboxsouthampton.co.uk,True
226,daydress.co.uk,False
227,daydweller.co.uk,False
228,dayone.co.uk,False
229,dazzle-dancewear.co.uk,True
230,dazzle.co.uk,True
231,dazzlingdesignscheer.co.uk,False
232,dbackdrop.co.uk,False
233,dblabsupplies.co.uk,True
234,dboltd.co.uk,False
235,dbp.me.uk,False
236,dbscollection.co.uk,False
237,dcaro.co.uk,True
238,dcbstore.co.uk,False
239,dccampersales.co.uk,False
240,dcolesolutions.co.uk,False
241,dcpackaging.co.uk,False
242,ddocklondon.co.uk,False
243,deaconjones.co.uk,True
244,deaddolly.co.uk,False
245,deadnight.co.uk,False
246,deadroses.co.uk,False
247,deafbooks.co.uk,False
248,dealbrand.co.uk,False
249,dealgiant.co.uk,False
250,dealsvault.co.uk,False
251,dearamy.co.uk,False
252,dearbarber.co.uk,True
253,diabetes.co.uk,True
254,diabetes.org.uk,True
255,discountcoffee.co.uk,True
256,divascloset.co.uk,False
257,durex.co.uk,True
258,halotop.uk,False
259,happykombucha.co.uk,True
260,harborist.co.uk,False
261,hario.co.uk,False
262,hasbean.co.uk,True
263,hatchetandbear.co.uk,False
264,hawkersco.co.uk,False
265,hbingredients.co.uk,False
266,hifiheadphones.co.uk,False
267,hiutdenim.co.uk,True
268,hogparts.co.uk,True
269,houseoffaiza.co.uk,True
270,huggle.co.uk,True
271,hullkr.co.uk,False
272,hydevapes.co.uk,False
273,ledhut.co.uk,False
274,leesa.co.uk,True
275,lightning-computers.co.uk,False
276,lights4fun.co.uk,True
277,lillybeau.co.uk,False
278,linastores.co.uk,False
279,liverpool.ac.uk,False
280,lotusartstudio.co.uk,True
281,loveislandshop.co.uk,False
282,lowcompany.co.uk,False
283,rainbowvapes.co.uk,False
284,rapidit.co.uk,True
285,rcgeeks.co.uk,False
286,rcn.org.uk,False
287,regalrose.co.uk,True
288,regeneratenr5.co.uk,False
289,remixd.co.uk,True
290,rmg.co.uk,False
291,rocwing.co.uk,False
292,roh.org.uk,False
293,rollhard.co.uk,True
294,ronning.co.uk,True
295,route13.co.uk,True
296,uk-mobilestore.co.uk,True
297,ukmcpro.co.uk,True
298,universalstore.uk,False
299,universalworks.co.uk,True
300,unwins.co.uk,False
301,urbanindustry.co.uk,True
302,zenminded.uk,False
303,zero-g.co.uk,True
304,fabfrocks.co.uk,True
305,falmouth.ac.uk,False
306,faradaic.co.uk,False
307,farhi.co.uk,False
308,farm2table.co.uk,False
309,farmtoysonline.co.uk,True
310,farriertools.co.uk,False
311,fascinatorsdirect.co.uk,True
312,fashaddict.co.uk,False
313,fashionably4you.co.uk,False
314,fashionablypregnant.co.uk,False
315,fashioninteract.co.uk,False
316,fashionloft.org.uk,False
317,fashionscarfworld.co.uk,False
318,fashionsilver.co.uk,False
319,fashiontrendz.co.uk,False
320,fashmind.co.uk,False
321,fast-pc.co.uk,False
322,fastdeals.co.uk,True
323,fastec-racing.co.uk,True
324,fastframes.co.uk,True
325,fastsoftware.co.uk,False
326,fatbutcherdelivery.co.uk,False
327,fatchimp.co.uk,True
328,fathamster.co.uk,False
329,fatlipshop.co.uk,True
330,fatmart.co.uk,False
331,fatwillyssurfshack.co.uk,False
332,faune.co.uk,False
333,fauxnation.co.uk,False
334,favely.co.uk,False
335,fawnandrose.co.uk,False
336,faydixondesign.co.uk,False
337,faye.co.uk,False
338,fayet.co.uk,False
339,fazenda.co.uk,False
340,fbargainsgalore.co.uk,False
341,fbcandlelight.co.uk,False
342,fdlcheese.co.uk,False
343,fdxsports.co.uk,False
344,fearless.co.uk,True
345,fearofzero.co.uk,False
346,feastbox.co.uk,True
347,feastin.co.uk,False
348,featherandnest.co.uk,True
349,featheringyournest.co.uk,True
350,featherpendants.co.uk,True
351,feathersofitaly.co.uk,True
352,feeldoppel.co.uk,True
353,feelingquirky.co.uk,False
354,feetfeet.co.uk,True
355,feetfirstfootwear.co.uk,False
356,femininewear.co.uk,True
357,flawlessvapeshop.co.uk,False
358,fogstar.co.uk,True
359,ford.co.uk,False
360,fredaldous.co.uk,True
361,gametee.co.uk,False
362,gatortail.co.uk,False
363,geekgaming.co.uk,True
364,goblingaming.co.uk,True
365,goodwinsmith.co.uk,True
366,gordonstcoffee.co.uk,False
367,grangers.co.uk,True
368,greatbritishflorist.co.uk,True
369,greatbritishtees.co.uk,False
370,greenpeople.co.uk,True
371,greyhaze.co.uk,True
372,grind.co.uk,True
373,papersmiths.co.uk,True
374,parliament.uk,False
375,partypieces.co.uk,False
376,patisserie-valerie.co.uk,False
377,pausemag.co.uk,False
378,pavers.co.uk,True
379,penguin.co.uk,False
380,pens-etc.co.uk,False
381,pexonpcs.co.uk,True
382,pixibeauty.co.uk,True
383,plutodirect.co.uk,False
384,polarnopyret.co.uk,True
385,potage.co.uk,True
386,powerhousefilms.co.uk,False
387,premier.org.uk,False
388,pressgazette.co.uk,False
389,printerpix.co.uk,False
390,progressjj.co.uk,True
391,prolon.co.uk,False
392,punkypins.co.uk,True
393,qub.ac.uk,False
394,wearwolfclothing.co.uk,True
395,weekenddoll.co.uk,False
396,worldofwool.co.uk,True
397,xcvb.co.uk,True
398,xtremeskins.co.uk,True
399,abacaorganic.co.uk,True
400,achillesheel.co.uk,True
401,activityvillage.co.uk,False
402,adamrossfabrics.co.uk,False
403,africanextracts.co.uk,True
404,africanmastersofstone.co.uk,True
405,africexpress.co.uk,False
406,afriwood.co.uk,False
407,afrobuy.co.uk,False
408,afroza.co.uk,False
409,after8shoes.co.uk,False
410,afteralice.co.uk,True
411,afterglowstudios.co.uk,False
412,afterparty.co.uk,False
413,afterpartystore.co.uk,False
414,aftonbypalm.co.uk,False
415,agastopia.co.uk,False
416,agatha-boutique.co.uk,True
417,aggadorablegems.co.uk,True
418,aggcrafts.co.uk,False
419,agiftbygaia.co.uk,False
420,agirlforalltime.co.uk,False
421,agitato.co.uk,False
422,agmeek.co.uk,True
423,agmmobile.co.uk,False
424,agnesium.co.uk,False
425,agorbody.co.uk,True
426,agoy.co.uk,False
427,agrisellex.co.uk,False
428,ahathletics.co.uk,False
429,ahighvibelife.co.uk,False
430,ahny.co.uk,False
431,ahoneybadger.co.uk,False
432,ahousefullofthread.co.uk,False
433,ahparties.uk,True
434,ahproducts.co.uk,False
435,aicabathrooms.co.uk,True
436,aiidoo.co.uk,False
437,aimcam.co.uk,False
438,aimfortraining.co.uk,False
439,aimtools.co.uk,True
440,aiprinting.co.uk,False
441,air-conditioning-cages.co.uk,True
442,air-eco.co.uk,False
443,air-relax.co.uk,False
444,airconcentre.co.uk,True
445,airgadgets.co.uk,False
446,airpodscases.co.uk,False
447,airpurifier.co.uk,False
448,airsoftanonymous.co.uk,True
449,airsoftimports.co.uk,True
450,airsoftoperatorsbox.co.uk,False
451,airtracknordic.co.uk,False
452,airvaping.co.uk,False
453,airwaydefence.co.uk,False
454,aiyefashion.co.uk,False
455,ajcollection.co.uk,False
456,ajppe.co.uk,False
457,ajvoyage.co.uk,True
458,akabeauty.co.uk,False
459,akcombat.co.uk,False
460,akdev.co.uk,False
461,akeekah.co.uk,False
462,aldi.co.uk,False
463,alicesbearshop.co.uk,False
464,antkit.uk,True
465,antler.co.uk,True
466,antoniandalison.co.uk,True
467,aquaswimsupplies.co.uk,False
468,architecturaldecor.co.uk,True
469,arktisoutdoor.co.uk,True
470,avi-8.co.uk,False
471,eastanglianlife.org.uk,False
472,easygardenirrigation.co.uk,True
473,ecigone.co.uk,False
474,emmabridgewater.co.uk,True
475,emojifresh.co.uk,False
476,equalitee.co.uk,False
477,escapade.co.uk,True
478,everyonedoesit.co.uk,False
479,ewequipment.co.uk,False
480,extrakeys.co.uk,False
481,ezcarcare.co.uk,True
482,maals.co.uk,True
483,macgregorandmacduff.co.uk,True
484,machina-coffee.co.uk,True
485,mackbooks.co.uk,False
486,mailshop.co.uk,True
487,maiyo.co.uk,False
488,makemyvape.co.uk,True
489,mathsgear.co.uk,True
490,mdbm.uk,False
491,mellerbrand.co.uk,True
492,menshealthforum.org.uk,False
493,microdrone.co.uk,False
494,miffyshop.co.uk,True
495,minbie.co.uk,True
496,missdiva.co.uk,True
497,morningstaronline.co.uk,False
498,mountain-equipment.co.uk,True
499,multi-sports.co.uk,False
500,babeezlondon.co.uk,False
501,babiesandme.co.uk,False
502,bably.co.uk,False
503,baby-lon.co.uk,False
504,baby-nails.co.uk,True
505,baby-path.co.uk,False
506,babyandmore.co.uk,True
507,babyandthegang.co.uk,True
508,babyatthebank.co.uk,False
509,babyblooms.co.uk,True
510,babyboylifestyle.co.uk,False
511,babycchinos.co.uk,False
512,babycompany.co.uk,False
513,babydom.co.uk,False
514,babyesmee.co.uk,False
515,babygo.uk,True
516,babyhustle.co.uk,False
517,babyiconic.co.uk,False
518,babykins.co.uk,False
519,babyknowsbest.co.uk,True
520,babyledfood.co.uk,False
521,babyllama.co.uk,False
522,babyonboardbadge.co.uk,True
523,babypeanutdesigns.co.uk,False
524,babyprops.co.uk,True
525,babys-mart.co.uk,False
526,babyswimmingshop.co.uk,False
527,babytogs.co.uk,False
528,barbless-flies.co.uk,False
529,brew2bottle.co.uk,True
530,brewteacompany.co.uk,False
531,brightminds.co.uk,True
532,candle-shack.co.uk,True
533,cpcompany.co.uk,False
534,crispydesigns.co.uk,False
535,customrare.co.uk,True
536,naturalbabyshower.co.uk,True
537,nutriseed.co.uk,False
538,oneaboveanother.co.uk,False
539,oofos.co.uk,False
540,thehempwellnesscentre.co.uk,True
541,thesnackchest.co.uk,False
542,305ive.co.uk,False
543,321alert.co.uk,False
544,321locks.co.uk,False
545,326power.uk,False
546,365shopping.co.uk,False
547,38espresso.co.uk,False
548,3bears.co.uk,False
549,3dbuyer.co.uk,False
550,3dhorizon.co.uk,False
551,3dmuscle.co.uk,False
552,3dnutrition.co.uk,False
553,3dwallpanels.co.uk,False
554,3hlinen.co.uk,False
555,3starsandawish.co.uk,False
556,3ways-boxshop.co.uk,False
557,5greens.co.uk,False
558,5minutefunshop.co.uk,False
559,5tox.co.uk,False
560,iaconnects.co.uk,False
561,iamcreatingmyownreality.uk,False
562,iamnat.co.uk,True
563,iamnomad.co.uk,False
564,iamtruth.co.uk,False
565,iamvibes.co.uk,True
566,iapples.co.uk,False
567,iasthaioriginal.co.uk,False
568,ibdbeauty.co.uk,False
569,ibeani.co.uk,False
570,ibij.co.uk,False
571,ibizahair.co.uk,False
572,ibrandmerchandise.co.uk,False
573,icarusclothing.co.uk,False
574,iccwbo.uk,True
575,iceboxdelivery.co.uk,False
576,iceboxskating.co.uk,False
577,icecreamcake.co.uk,False
578,icehollie.co.uk,False
579,icelife.co.uk,False
580,icepods.co.uk,False
581,icesmith.co.uk,False
582,icicosmetic.co.uk,False
583,icon-eng.co.uk,False
584,iconbeverages.co.uk,False
585,iconbridal.co.uk,False
586,iconicjewels.co.uk,False
587,iconickits.co.uk,False
588,iconicstore.co.uk,False
589,iconoclastic.co.uk,False
590,icosmetix.co.uk,False
591,icowhide.co.uk,False
592,id-uk.co.uk,False
593,idaffodil.co.uk,False
594,idamballoons.co.uk,False
595,idapparelclothing.co.uk,False
596,idashouse.co.uk,False
597,ideala.co.uk,False
598,idealhomestore.co.uk,False
599,idealstencils.co.uk,False
600,ideas4pets.co.uk,True
601,ideawin.co.uk,False
602,idecoz.co.uk,False
603,idgaming.co.uk,False
604,ididitco.co.uk,False
605,idigitec.co.uk,False
606,idlefury.co.uk,False
607,idolinteriors.co.uk,False
608,idoltees.co.uk,False
609,idresstoimpress.co.uk,False
610,ievadickson.co.uk,False
611,ifordmanorteas.co.uk,False
612,igeniusmobile.co.uk,False
613,igetitfast.co.uk,False
614,iglookids.co.uk,True
615,ignify.co.uk,False
616,ignitefit.co.uk,False
617,ignitionclothing.co.uk,False
618,ignitionimages.co.uk,False
619,igrowlasers.co.uk,False
620,in2detailing.co.uk,False
621,independentmuso.co.uk,False
622,indianarts.co.uk,True
623,indiangrocerystore.co.uk,False
624,indianvegbox.co.uk,False
625,indicoonline.co.uk,False
626,indiebeer.co.uk,False
627,indiebridelondon.co.uk,True
628,indish.co.uk,True
629,indohome.co.uk,False
630,indoi.co.uk,False
631,indomie.co.uk,False
632,indooroutdoors.co.uk,False
633,indoortraining.co.uk,False
634,industrialhome.co.uk,False
635,industville.co.uk,True
636,indyandthewhale.co.uk,False
637,indyvisuals.co.uk,False
638,ineedone.co.uk,False
639,infamilie.co.uk,False
640,infernox.co.uk,False
641,infiniteanddarling.co.uk,False
642,infinity-cbd.co.uk,False
643,infinitycompetitions.co.uk,False
644,infinitydecals.co.uk,False
645,infinityroseslondon.co.uk,False
646,infinitytoyz.co.uk,False
647,infinityxinfinity.co.uk,False
648,infinuty.co.uk,False
649,inflatable24.co.uk,False
650,inflates.co.uk,False
651,inflows.co.uk,False
652,infullplume.co.uk,False
653,infusioncbd.co.uk,False
654,ingala.co.uk,False
655,ingersolllocks.co.uk,True
656,ingridpetriedesign.co.uk,False
657,inhomecreation.co.uk,False
658,inhomefitness.co.uk,False
659,injc.co.uk,False
660,ink-white.co.uk,False
661,inkashop.co.uk,False
662,inkedclothing.co.uk,False
663,inkinspiration.co.uk,False
664,inkitout.co.uk,False
665,inko.co.uk,False
666,inkoutsidethebox.co.uk,False
667,inkpapersparkle.co.uk,False
668,inkship.co.uk,False
669,inkteriorart.co.uk,False
670,innovationleds.co.uk,False
671,inoawholesale.co.uk,False
672,inofia.co.uk,False
673,inpoexpo.co.uk,False
674,inpressbooks.co.uk,True
675,insightfacadesdirect.co.uk,False
676,inspected.co.uk,False
677,inspirationsbymel.co.uk,False
678,inspirited.co.uk,False
679,instanthijabs.co.uk,True
680,instantmixer.co.uk,False
681,itzoo.co.uk,True
682,jkattire.co.uk,True
683,jm-wholesale.co.uk,False
684,johnleorose.co.uk,False
685,juniperstudio.co.uk,False
686,justsilver.co.uk,False
687,scandiborn.co.uk,True
688,secretlab.co.uk,False
689,sharpsbrewery.co.uk,False
690,shoethebear.co.uk,False
691,skulpta.co.uk,False
692,soundinsulationstore.co.uk,True
693,squizzas.co.uk,True
694,styleheist.co.uk,False
695,sulfitclothing.co.uk,False
696,supremeshop.co.uk,False
697,vapeabox.co.uk,False
698,vapehq.co.uk,False
699,verdict.co.uk,False
700,dareboutique.co.uk,True
701,daretochair.co.uk,False
702,darkartscoffee.co.uk,True
703,darkdesignshop.co.uk,False
704,darkmattertuning.co.uk,True
705,darkops.co.uk,False
706,darkroadperformance.co.uk,False
707,darkrosejewellery.co.uk,False
708,darksugars.co.uk,True
709,dartflyscreens.co.uk,False
710,darthub.co.uk,False
711,dashel.co.uk,False
712,dashprint.co.uk,False
713,dauphie.co.uk,False
714,davek.co.uk,False
715,davidwayman.co.uk,True
716,davincilondon.uk,False
717,davis-watches.co.uk,False
718,dealsplease.uk,False
719,dearamirati.co.uk,False
720,deaux.co.uk,False
721,debbiechatfield.co.uk,False
722,deboiz.co.uk,True
723,debonairclothing.co.uk,False
724,debonairformen.co.uk,True
725,debonairtea.co.uk,True
726,deborahlyons.co.uk,False
727,debriefedunderwear.co.uk,True
728,decentpackaging.co.uk,False
729,deckstudio.co.uk,False
730,decksupermarket.co.uk,True
731,deckz-composites.co.uk,True
732,decolight.co.uk,True
733,decopompoms.co.uk,False
734,decor-express.co.uk,False
735,decorativeantiques.uk,False
736,decordesignshop.co.uk,False
737,decordisplays.co.uk,False
738,decorelo.co.uk,True
739,decorluxe.co.uk,False
740,decormania.co.uk,False
741,decortecosmetics.co.uk,False
742,decortie.co.uk,False
743,decorum-shop.co.uk,True
744,decorwallsandflooring.co.uk,True
745,decur.co.uk,True
746,deebora.co.uk,False
747,deedeeboo.co.uk,False
748,deep-dark.co.uk,False
749,deepcalm.co.uk,False
750,deependpools.co.uk,False
751,deepsleeps.co.uk,True
752,deepstealthdungeon.co.uk,False
753,deerchair.co.uk,False
754,deesshed.co.uk,False
755,deetour.co.uk,False
756,defautomation.co.uk,False
757,defiancedistillery.co.uk,False
758,defibhub.co.uk,True
759,defibs.co.uk,False
760,defibuk.co.uk,True
761,definedcoding.co.uk,False
762,definitivekitchens.co.uk,False
763,defranca.uk,False
764,defyworldwide.co.uk,False
765,deige.co.uk,False
766,deja-ltd.co.uk,False
767,delicatezza.co.uk,True
768,deliciouscoffee.co.uk,False
769,delighter.co.uk,False
770,delilahruby.co.uk,False
771,delisupplies.co.uk,False
772,delivermyprescription.co.uk,False
773,delivita.co.uk,False
774,deltafitnessapparel.co.uk,False
775,delune.co.uk,False
