,website,in_sfdc
6994,masksworld.co.uk,False
6995,masktime.co.uk,False
6996,masonicman.co.uk,False
6997,mass4d.co.uk,False
6998,masterbuilt.co.uk,False
6999,mastersounds.co.uk,True
7000,b-bold.co.uk,False
7001,b-cosmeticsonline.co.uk,False
7002,b-tempted.co.uk,True
7003,bundledgifts.co.uk,False
7004,bundledup.co.uk,False
7005,bunioncorrector.co.uk,False
7006,bunniesandblossom.co.uk,False
7007,bunnyinabox.co.uk,False
7008,bunting-warehouse.co.uk,False
7009,buntypetproducts.co.uk,False
7010,buongusto.co.uk,True
7011,buqu.co.uk,True
7012,burleigh.co.uk,False
7013,burtonblake.co.uk,True
7014,busybeaks.co.uk,False
7015,busybeenewmarket.co.uk,True
7016,butlerandwilson.co.uk,True
7017,butterluxe.co.uk,False
7018,buttonnose.co.uk,False
7019,buyallmeans.uk,False
7020,buyanygiftuk.co.uk,False
7021,buyblackclothing.uk,False
7022,buyengland.co.uk,False
7023,buygiftmate.co.uk,False
7024,buyhydraulics.co.uk,False
7025,buymonkey.co.uk,False
7026,buypackmate.co.uk,False
7027,buyplants.co.uk,False
7028,buypubquizzes.co.uk,False
7029,buysimple.co.uk,False
7030,buyvivid.co.uk,False
7031,buzzdrones-shop.co.uk,False
7032,buzzretail.co.uk,True
7033,buzzspecialvehicles.co.uk,True
7034,buzzstop.co.uk,False
7035,bwbfdirect.co.uk,False
7036,bwsupplies.co.uk,False
7037,bxmexpeditions.co.uk,False
7038,by-alice.co.uk,False
7039,byarena.co.uk,False
7040,bye-bags.co.uk,False
7041,bygraziela-fabrics.co.uk,False
7042,byoko.co.uk,False
7043,byre.co.uk,True
7044,byronbaybronze.co.uk,False
7045,byruby.co.uk,True
7046,bytes2gigabytes.co.uk,False
7047,byvirtue.co.uk,False
7048,cabaia.co.uk,True
7049,cabincoffee.co.uk,False
7050,cabindepot.co.uk,False
7051,cablelab.co.uk,False
7052,cablepro.uk,False
7053,caboodlebags.co.uk,True
7054,cactuscompany.co.uk,False
7055,cactws.co.uk,False
7056,caddistribution.co.uk,False
7057,cadeauxandco.co.uk,True
7058,cadenshae.co.uk,False
7059,cafazzini.co.uk,True
7060,caferico.co.uk,False
7061,caffe-select.co.uk,False
7062,caffin8.co.uk,False
7063,caiburton.co.uk,True
7064,caissen.co.uk,False
7065,cajuu.co.uk,False
7066,cakemyface.co.uk,True
7067,cakesburg.co.uk,False
7068,cakesbyandrew.co.uk,False
7069,cakesmashprops.co.uk,False
7070,caketoolsdirect.co.uk,False
7071,calderskitchen.co.uk,False
7072,caleygolf.co.uk,False
7073,calibre21.co.uk,False
7074,callie-co.co.uk,False
7075,callieco.co.uk,False
7076,calloftheocean.co.uk,False
7077,calmdrinks.co.uk,False
7078,calvinsfreefromfoods.co.uk,False
7079,si-sis.co.uk,False
7080,si-su.co.uk,False
7081,siennahosta.co.uk,False
7082,sifjakobs.uk,False
7083,signatureattire.co.uk,False
7084,signaturebrew.co.uk,True
7085,signaturemasks.co.uk,False
7086,signatureskin.co.uk,False
7087,signatureworkwear.co.uk,False
7088,signcast.co.uk,False
7089,signcraftgroup.co.uk,False
7090,signorecollection.co.uk,False
7091,signsaver.co.uk,False
7092,signsdelivered.co.uk,False
7093,sigrun.co.uk,True
7094,silent-snore.co.uk,False
7095,silentcoat.co.uk,False
7096,silhouette-saddles.co.uk,False
7097,silhouettesculpt.co.uk,False
7098,silibili.co.uk,True
7099,siliconelovers.co.uk,False
7100,siliconephonecases.co.uk,False
7101,silkroaddiamonds.co.uk,False
7102,silkydrip.co.uk,False
7103,silkytots.co.uk,False
7104,sillyme.co.uk,False
7105,silphi.co.uk,False
7106,silvadore.co.uk,False
7107,silvanass.co.uk,False
7108,silver-bracelets.co.uk,False
7109,silver-magpie.co.uk,False
7110,silver-story.co.uk,False
7111,silverandbeauty.co.uk,False
7112,silverbackcbd.co.uk,False
7113,silverboojewellery.co.uk,False
7114,silverclip.co.uk,False
7115,silverfireuk.co.uk,False
7116,silveritz.co.uk,False
7117,silverlandstone.co.uk,True
7118,silverlineco.uk,False
7119,silverly.co.uk,True
7120,silverrealm.co.uk,True
7121,silverscene.co.uk,False
7122,silversecrets.co.uk,False
7123,silverstick.co.uk,False
7124,silverwholesale.co.uk,False
7125,similar-scent.co.uk,False
7126,simmeringscents.co.uk,False
7127,simonforsterphotographic.co.uk,False
7128,simonsonsandco.co.uk,False
7129,simplebunmaker.co.uk,False
7130,simplecollection.co.uk,False
7131,simplecow.co.uk,False
7132,simpleedirect.co.uk,False
7133,simpleestyle.co.uk,False
7134,simplefix.co.uk,False
7135,simplehealthpoint.co.uk,False
7136,simpletelecomms.co.uk,False
7137,simplicitystyle.co.uk,False
7138,simplicityunlimited.co.uk,False
7139,simply-puppy.co.uk,False
7140,simply-sofa.co.uk,False
7141,simplyantivirus.co.uk,True
7142,simplyathome.co.uk,False
7143,simplyeccentric.co.uk,False
7144,simplyecoshop.co.uk,False
7145,simplyfurnishing.co.uk,False
7146,simplygymwear.co.uk,False
7147,simplyhammocks.co.uk,True
7148,simplyhike.co.uk,True
7149,simplymoi.uk,True
7150,simplynix.co.uk,False
7151,simplypetsupplies.co.uk,False
7152,simplypoochie.co.uk,False
7153,simplyprettygifts.co.uk,False
7154,simplysashes.co.uk,False
7155,simplysideboards.co.uk,False
7156,simplysolovely.co.uk,True
7157,simplysouvenirs.co.uk,False
7158,simplystylishgifts.co.uk,False
7159,simplythebestevents.co.uk,False
7160,simplythebesttoysandgifts.uk,False
7161,simplytouch.co.uk,False
7162,simplyutopia.co.uk,False
7163,smiletimeteeth.co.uk,False
7164,smileymoments.co.uk,False
7165,smithersclothiers.co.uk,False
7166,smocksandfrocks.co.uk,True
7167,smoke-cartel.co.uk,False
7168,smokeoutlet.co.uk,False
7169,smokerscornermcr.co.uk,False
7170,smokersexit.co.uk,False
7171,smokersparadiseclub.co.uk,False
7172,smokerstools420.co.uk,False
7173,smokz.co.uk,False
7174,hoxtonmacs.co.uk,True
7175,hoyobotanicals.co.uk,False
7176,hozai.co.uk,False
7177,hozzhouse.co.uk,False
7178,hpreston.co.uk,False
7179,hprestonmedia.co.uk,False
7180,hr4k.co.uk,False
7181,hsconline.co.uk,True
7182,hsdd.co.uk,False
7183,hskhome.co.uk,False
7184,hsujewellery.uk,True
7185,htaccessories.co.uk,False
7186,htownhemp.co.uk,False
7187,htreikiwater.co.uk,False
7188,htssupplies.co.uk,False
7189,hubalu.co.uk,False
7190,hubshop.co.uk,False
7191,hudashealingandhealth.co.uk,False
7192,hudsonandgreen.co.uk,False
7193,hudsonhome.co.uk,True
7194,hudsonlighting.co.uk,False
7195,huez.co.uk,False
7196,hufworldwide.co.uk,False
7197,hugeheadz.co.uk,False
7198,hugehoods.co.uk,False
7199,huggiesdirect.co.uk,False
7200,hugoand.co.uk,False
7201,hugoandme.co.uk,False
7202,hugohudson.co.uk,True
7203,huion.uk,False
7204,hulashop.co.uk,False
7205,hullhydroponics.co.uk,False
7206,hullpops.co.uk,True
7207,humanseavintage.co.uk,False
7208,humantimothy.co.uk,False
7209,humbleclothes.co.uk,False
7210,humblehank.co.uk,False
7211,humphriesandbegg.co.uk,False
7212,hungryphonehouse.co.uk,False
7213,hunkydoryhome.co.uk,True
7214,huntbeauty.co.uk,False
7215,huntepic.co.uk,False
7216,hunterandboo.co.uk,False
7217,hunterandmackenzie.co.uk,False
7218,hunterandrose.co.uk,False
7219,huntersofyorkshire.co.uk,False
7220,hurst-iw.co.uk,True
7221,hush-boutique.uk,False
7222,hushabyebaby.co.uk,False
7223,hushleamington.co.uk,True
7224,hushpuppies.co.uk,False
7225,hushsextoys.co.uk,False
7226,huttonshomeandgarden.co.uk,False
7227,hutwoods.co.uk,False
7228,huxleysocks.co.uk,False
7229,huxlo.co.uk,True
7230,hxmefitness.co.uk,False
7231,pa-pajewellery.co.uk,True
7232,parsnipsandpears.co.uk,False
7233,parsonsjewellersltd.co.uk,False
7234,partyperfecto.co.uk,False
7235,pasal.co.uk,False
7236,pascoecandles.co.uk,False
7237,pashtush.co.uk,False
7238,pasocbd.co.uk,False
7239,pasoluna.co.uk,False
7240,passionateaboutdesign.co.uk,True
7241,passionevino.co.uk,False
7242,pastelhome.co.uk,False
7243,pastellebeauty.co.uk,False
7244,pastichecouture.co.uk,False
7245,pastrypro.co.uk,True
7246,pasunemarque.co.uk,False
7247,pat-testers.co.uk,False
7248,patchera.co.uk,False
7249,patchers.co.uk,False
7250,patchgames.co.uk,False
7251,patchology.co.uk,False
7252,pathfinderuk.co.uk,False
7253,patternco.co.uk,False
7254,paulandshark.co.uk,True
7255,paulcaseboutique.co.uk,False
7256,paulguthrieart.co.uk,False
7257,paulmagen.co.uk,True
7258,paulmartyndesign.co.uk,False
7259,paulparkman.co.uk,True
7260,paulspaperandpens.co.uk,False
7261,paulthevegman.co.uk,False
7262,paw-naturel.co.uk,True
7263,paw-products.co.uk,False
7264,pawandmore.co.uk,False
7265,pawandprint.co.uk,False
7266,pawbottle.co.uk,False
7267,pawgear.co.uk,False
7268,pawpatrols.co.uk,False
7269,pawpose.co.uk,False
7270,pawpowers.co.uk,False
7271,pawsnclawsboutique.co.uk,False
7272,pawsomelife.co.uk,False
7273,pawstastic.co.uk,False
7274,payeldn.co.uk,False
7275,paylessfragrances.co.uk,False
7276,pazuki.co.uk,True
7277,pbprints.co.uk,False
7278,pcaskin.co.uk,False
7279,pcdsol.co.uk,False
7280,pcrsol.co.uk,False
7281,pcsports.co.uk,True
7282,pdk.co.uk,False
7283,pdsapetstore.org.uk,True
7284,peacefulhooligan.co.uk,True
7285,peachboutiques.co.uk,False
7286,peachesandeaches.co.uk,False
7287,peachperfect.co.uk,True
7288,peachstores.co.uk,False
7289,peakdalesculptures.co.uk,True
7290,peakenvelopes.co.uk,True
7291,peakgel.co.uk,False
7292,pearlandclover.co.uk,False
7293,pearlyhawker.co.uk,False
7294,pearpaperco.co.uk,False
7295,penfoldpress.co.uk,False
7296,penkwin.co.uk,False
7297,pennylou.co.uk,False
7298,pennyoga.co.uk,False
7299,pennyrosehomegifts.co.uk,False
7300,pensbybailey.co.uk,False
7301,pentsy.co.uk,False
7302,peopleswine.co.uk,False
7303,pepkitchen.co.uk,False
7304,pepperandink.co.uk,False
7305,peppersmith.co.uk,True
7306,pepperyou.co.uk,False
7307,peppyaccessories.co.uk,True
7308,percussion4u.co.uk,True
7309,percypreston.co.uk,False
7310,percytheparkkeeper.co.uk,False
7311,perennial.org.uk,False
7312,perfect-leather.uk,False
7313,perfect-planet.co.uk,False
7314,perfectbindings.co.uk,False
7315,perfectcharm.co.uk,False
7316,perfectlittelheaven.co.uk,False
7317,perfectpetmemories.co.uk,False
7318,perfectshopco.co.uk,False
7319,perfectsmileshop.co.uk,False
7320,perfectwaist.co.uk,False
7321,perfume24.co.uk,False
7322,perfumeboss.co.uk,False
7323,perfumedirectlondon.co.uk,False
7324,perfumeslike.co.uk,False
7325,perfumestars.co.uk,False
7326,perfumez.co.uk,False
7327,perfumist.uk,False
7328,perlaworld.co.uk,False
7329,perriconemd.co.uk,False
7330,perryehopper.co.uk,False
7331,persephonebooks.co.uk,False
7332,persiantribalrugs.co.uk,True
7333,persimmongolf.co.uk,False
7334,persnicketyco.co.uk,False
7335,personal-licence-online.co.uk,False
7336,personalisedbyrosie.co.uk,False
7337,personalisedchocolates4u.co.uk,False
7338,personalisedfor.co.uk,False
7339,personalisedgiftsformen.co.uk,False
7340,personalisedisland.co.uk,False
7341,personalisedpgtips.co.uk,False
7342,personalisedsilver.co.uk,True
7343,personalisedtreasure.co.uk,False
7344,personaliseonline.co.uk,True
7345,personofinterestclothing.co.uk,True
7346,phloemclothing.co.uk,False
7347,phoebe-grace.co.uk,True
7348,phoenixandbeau.uk,False
7349,phoenixsound.co.uk,False
7350,phoenixstyle.co.uk,False
7351,phoenixvapes.co.uk,False
7352,phoenixwines.co.uk,False
7353,phoeracosmetics.co.uk,False
7354,phone-now.uk,False
7355,phone4u.co.uk,True
7356,phonetabuk.co.uk,False
7357,phonystore.co.uk,False
7358,photodecor.co.uk,True
7359,photogem.co.uk,False
7360,photomoonlamp.co.uk,False
7361,photopanda.co.uk,False
7362,photopsy.co.uk,False
7363,photosinaword.co.uk,False
7364,photoworks.org.uk,False
7365,phug.co.uk,False
7366,phunkybuddha.co.uk,False
7367,physicool.co.uk,True
7368,physiflex.co.uk,False
7369,physiqueathome.co.uk,False
7370,physiquebrothers.co.uk,False
7371,phytopet-trade.co.uk,False
7372,phytopet.co.uk,False
7373,piacha.co.uk,False
7374,picaspets.co.uk,False
7375,pick6apparel.co.uk,False
7376,pickett.co.uk,False
7377,pickleandbean.co.uk,False
7378,pickleandflos.co.uk,False
7379,pickleandpoppet.co.uk,False
7380,pickledtink.co.uk,False
7381,picklepatchcreations.co.uk,False
7382,picknmixlondon.co.uk,False
7383,pickr.uk,False
7384,pickscottagefishery.co.uk,False
7385,pictureperfectgifts.co.uk,False
7386,piece.co.uk,False
7387,piecesofthepuzzle.co.uk,False
7388,piesbypost.co.uk,False
7389,pigemporium.co.uk,False
7390,piggery-smokery.co.uk,True
7391,pigletsquid.co.uk,False
7392,pigmentsart.co.uk,False
7393,pigskin.co.uk,False
7394,pikku.co.uk,False
7395,piksters.co.uk,False
7396,pilgrimzone.co.uk,False
7397,pillowed.co.uk,False
7398,pillowmagic.co.uk,False
7399,pillowtalk.co.uk,False
7400,pillwaa.co.uk,True
7401,pilotequine.co.uk,False
7402,pilotiuk.co.uk,False
7403,pilotjackets.co.uk,False
7404,pimababy.co.uk,False
7405,pimentohill.co.uk,True
7406,pimlotts.co.uk,True
7407,pinkcactusandco.co.uk,False
7408,pinkdaisybridal.co.uk,False
7409,pinkskipco.co.uk,False
7410,pinnacleathletics.co.uk,False
7411,m2mprinting.co.uk,False
7412,mabelchild.co.uk,False
7413,mabelslashes.co.uk,False
7414,macandjones.co.uk,False
7415,macaroonjewellery.co.uk,False
7416,macbook-repairs.co.uk,False
7417,macbookcase.co.uk,False
7418,maccess.co.uk,False
7419,machijewelry.co.uk,False
7420,machine4u.co.uk,False
7421,machinemounts.co.uk,False
7422,macieskidz.co.uk,True
7423,mackmyra.co.uk,False
7424,macleodswholesalebargains.co.uk,False
7425,macutec.co.uk,False
7426,madaboutspecs.co.uk,True
7427,madanai.co.uk,False
7428,madapevapez.co.uk,False
7429,madebydaisy.co.uk,False
7430,madebyharriet.co.uk,False
7431,madebylauren.co.uk,False
7432,madebymostyn.co.uk,False
7433,madebymustard.co.uk,False
7434,madebypenguins.co.uk,False
7435,madeforyou.co.uk,False
7436,madefromtrees.co.uk,False
7437,madeinfolkestone.co.uk,False
7438,madeinply.co.uk,False
7439,madeinthestudio.co.uk,False
7440,madeinwords.co.uk,False
7441,madejustforyou.co.uk,False
7442,mademoisellemacaron.co.uk,True
7443,madewithasmile.co.uk,False
7444,madewithyou.co.uk,False
7445,madfactory.co.uk,True
7446,madjewellery.co.uk,False
7447,madkitty.me.uk,False
7448,madmoments.co.uk,False
7449,madonsewing.co.uk,False
7450,madsmile.co.uk,False
7451,maejorldn.co.uk,False
7452,mag-net.uk,False
7453,mag12.co.uk,False
7454,magazaonline.co.uk,False
7455,maggslondon.co.uk,True
7456,magic-mountain.co.uk,False
7457,magicallettersfrom.co.uk,False
7458,magicalmail.co.uk,False
7459,magicalstory.co.uk,False
7460,magiccharger.co.uk,False
7461,magicclps.co.uk,False
7462,magiccosmetics.co.uk,True
7463,magicflowercompany.co.uk,True
7464,magicgirlclub.co.uk,False
7465,magicglobalgadgets.co.uk,False
7466,magicsilhouette.co.uk,False
7467,magictrend.co.uk,False
7468,magicwaxmelts.co.uk,False
7469,magnametals.co.uk,False
7470,magneteyesuk.co.uk,True
7471,magneticnailscotland.co.uk,False
7472,magnetmouse.co.uk,False
7473,magnetoballs.co.uk,False
7474,magnificentmakes.co.uk,False
7475,magnificentmarrow.co.uk,False
7476,magnitone.co.uk,True
7477,magrathfuels.co.uk,False
7478,maharaniaccessories.co.uk,False
7479,mahoganynaturals.co.uk,False
7480,mahroze.co.uk,False
7481,maiajeans.co.uk,False
7482,mailordertrees.co.uk,False
7483,maimie.co.uk,True
7484,maincoursedirect.co.uk,False
7485,mainefurniture.co.uk,True
7486,mainline-sensors.co.uk,True
7487,mainlysi.co.uk,False
7488,maisonandgarden.co.uk,False
7489,maisondesreves.co.uk,False
7490,maita.co.uk,False
7491,maizedesign.co.uk,False
7492,make4media.co.uk,False
7493,makeat140.co.uk,True
7494,makeitbymail.co.uk,False
7495,makeitglutenfree.co.uk,False
7496,maker-skateboards.co.uk,False
7497,makester.co.uk,False
7498,marlowecostumes.co.uk,False
7499,martianmindset.co.uk,False
7500,ce-equestrian.co.uk,False
7501,ceiling-speakers.co.uk,True
7502,celebratebeingdifferent.co.uk,False
7503,celebrategifts.co.uk,False
7504,celebrateshop.co.uk,False
7505,celebration-tree.co.uk,False
7506,celebrationsgift.co.uk,False
7507,celebritybrushes.co.uk,False
7508,celestal.co.uk,False
7509,celiagould.co.uk,False
7510,cellardoorwines.co.uk,True
7511,cellarmarinestore.co.uk,False
7512,celticelements.co.uk,False
7513,celticlands.co.uk,True
7514,celynclothing.co.uk,False
7515,centralliving.co.uk,True
7516,centrecentre.co.uk,False
7517,centuriontec.co.uk,False
7518,ceozo.co.uk,False
7519,ceradeluxe.co.uk,False
7520,cerami.co.uk,False
7521,ceramic-tiling-tools.co.uk,False
7522,ceramicguard.co.uk,False
7523,ceridwenhazelchild.co.uk,False
7524,cerrurafashions.co.uk,True
7525,certainlywood.co.uk,False
7526,certifiedsports.co.uk,False
7527,ceseuropeltd.co.uk,True
7528,cewgroup.co.uk,True
7529,cgcinteriors.co.uk,False
7530,cgmvape.co.uk,True
7531,chagalife.co.uk,False
7532,chairoutlet.co.uk,False
7533,chairs4allreasons.co.uk,True
7534,chairsandbeds.co.uk,False
7535,chakradreams.co.uk,True
7536,chalk2thehand.co.uk,False
7537,chalkboardsigns.co.uk,True
7538,chalkstreamfoods.co.uk,False
7539,challengethenorm.co.uk,True
7540,chambersfresh.co.uk,False
7541,chamboo.co.uk,False
7542,chameleontech.uk,False
7543,chameleonvapour.co.uk,False
7544,champagnesabres.co.uk,False
7545,championgifts.co.uk,False
7546,championplants.co.uk,True
7547,chancefashion.co.uk,False
7548,chandelierboutique.co.uk,False
7549,chandlersattic.co.uk,False
7550,chandrikathomas.co.uk,False
7551,changenutrition.co.uk,False
7552,changeprotein.co.uk,False
7553,chango.co.uk,True
7554,chanixmillinery.co.uk,False
7555,channelteddy.co.uk,True
7556,chantecaille.co.uk,False
7557,chaoscollection.co.uk,False
7558,chapeaucakes.co.uk,False
7559,chapelhousesoap.co.uk,False
7560,chapelstreetboutique.co.uk,True
7561,characterwise.co.uk,False
7562,charismapads.co.uk,True
7563,charlesandlee.co.uk,False
7564,charlesfish.co.uk,False
7565,charlesmacleod.co.uk,False
7566,charlesvermont.co.uk,False
7567,charleyandnicksrealfood.co.uk,True
7568,charliefoxtrotvintage.co.uk,False
7569,charliejacks.co.uk,False
7570,charliekate.co.uk,True
7571,charliemcleod.co.uk,False
7572,charlizeloulou.co.uk,False
7573,charlotteboutique.co.uk,False
7574,charlottecornelius.co.uk,True
7575,charlottelowe.co.uk,False
7576,charlottemacey.co.uk,False
7577,charmed-interiors.co.uk,True
7578,charmed-memories.co.uk,False
7579,charmejewellery.co.uk,False
7580,charmingandtrendy.co.uk,False
7581,charnwoodfundraising.co.uk,False
7582,chaser-toys.co.uk,False
7583,chasingwaterfalls.co.uk,False
7584,chateaurouge.uk,False
7585,chattels-designerfurniture.co.uk,False
7586,chattelsfurniture.co.uk,True
7587,chaze.co.uk,False
7588,cheatah.co.uk,False
7589,cheekyclean.co.uk,False
7590,simplywoodpellets.co.uk,False
7591,sincerelylouise.co.uk,False
7592,sinclairsonline.co.uk,True
7593,sineatersguild.co.uk,False
7594,singhstreetstyle.co.uk,False
7595,single-speed.co.uk,False
7596,singlefootballcards.co.uk,False
7597,singleproduct.co.uk,False
7598,singlevariety.co.uk,True
7599,sink-tap.co.uk,True
7600,sinkgolf.co.uk,False
7601,siopcwlwm.co.uk,True
7602,siopypentan.co.uk,False
7603,sipandco.co.uk,False
7604,sipsipcocktails.co.uk,True
7605,siroccodesign.co.uk,False
7606,sirplus.co.uk,True
7607,siskyn.co.uk,False
7608,sistaco.co.uk,False
7609,sisterandcompany.co.uk,False
7610,sisterdesign.co.uk,False
7611,sisterray.co.uk,True
7612,sisterstitchersuk.co.uk,False
7613,sixdegreeslondon.co.uk,False
7614,sixlove.co.uk,False
7615,sixonenineclothing.co.uk,False
7616,sixstories.co.uk,False
7617,sixthscentswaxmelts.co.uk,False
7618,sixtyninety.co.uk,True
7619,sixyardsout.co.uk,False
7620,siyaz.co.uk,False
7621,sjforbessalon.co.uk,False
7622,sjoskin.co.uk,False
7623,skandis.co.uk,False
7624,skapeti.co.uk,False
7625,skate360.co.uk,False
7626,skateescape.co.uk,False
7627,skatersrock.co.uk,False
7628,skeletonbolts.co.uk,False
7629,skelfframes.co.uk,True
7630,skiandsnowboardwax.co.uk,True
7631,skincareorganics.co.uk,False
7632,skinessential.co.uk,False
7633,skinlabo.uk,False
7634,skinnytan.co.uk,False
7635,skinsolcosmetics.co.uk,False
7636,spaceinvapers.co.uk,True
7637,sparklebutt.co.uk,False
7638,sparklers.co.uk,False
7639,sparklesgiftboutique.co.uk,False
7640,sparklesuppliesuk.co.uk,False
7641,spartacarcare.co.uk,False
7642,spcomm.co.uk,False
7643,spduk.co.uk,False
7644,speakit.co.uk,False
7645,speaksee.co.uk,False
7646,speakupspace.co.uk,False
7647,specialist-audio-solutions.co.uk,False
7648,specialistsmallcraft.co.uk,False
7649,speciallittlethoughts.co.uk,False
7650,specsglasses.co.uk,False
7651,spectrumeducational.co.uk,False
7652,spectrumfibre.co.uk,False
7653,spectrumoutfitters.co.uk,False
7654,speechproducts.co.uk,False
7655,speedwear.co.uk,False
7656,speedydreamers.co.uk,False
7657,speedyelectrical.co.uk,False
7658,speedyfeet.co.uk,True
7659,speedyspirits.co.uk,False
7660,speedytrees.co.uk,False
7661,spencesmenswear.co.uk,False
7662,sperrytopsider.co.uk,False
7663,spexbox.co.uk,False
7664,sphaeradecor.co.uk,False
7665,spibelt.co.uk,False
7666,spidermonkeyuk.co.uk,False
7667,spillerandtait.co.uk,True
7668,spiltink.co.uk,False
7669,spincare.co.uk,True
7670,spincollective.co.uk,False
7671,spindee.co.uk,False
7672,spinnaker-watches.co.uk,False
7673,spire-apparel.co.uk,False
7674,spirelove.co.uk,False
7675,spiritandgrace.co.uk,False
7676,spirithq.co.uk,False
7677,spiritofestia.co.uk,False
7678,spiritofshenfield.co.uk,False
7679,spirituniverse.co.uk,False
7680,spitalfieldscandles.co.uk,False
7681,spitfireclothing.co.uk,False
7682,spitfirespeedshop.co.uk,False
7683,splashbag.co.uk,False
7684,splashfactor.co.uk,False
7685,splashfun.co.uk,False
7686,splashinails.co.uk,False
7687,splashingsoffabric.co.uk,True
7688,splatoralcare.uk,False
7689,splay.co.uk,True
7690,splendidantiques.co.uk,False
7691,splendidfred.co.uk,False
7692,splitpeak.co.uk,False
7693,splitsmiths.co.uk,False
7694,spmoments.co.uk,False
7695,spoiledbrat.co.uk,False
7696,spoiltbelle.co.uk,True
7697,spoiltland.co.uk,False
7698,spokengifts.co.uk,False
7699,sponsor-deki.org.uk,False
7700,spontex-workwear.co.uk,False
7701,spoonfulofwax.co.uk,False
7702,sportasylum.co.uk,True
7703,sportbaby.co.uk,True
7704,sportees.co.uk,False
7705,sporteq.co.uk,True
7706,sportlifetravel.uk,False
7707,sportsballwarehouse.co.uk,False
7708,sportsnutritionuk.co.uk,False
7709,sportsrecoveryuk.co.uk,False
7710,sportssector.co.uk,True
7711,sporttape.co.uk,True
7712,sporttapepro.co.uk,True
7713,sportyaf.co.uk,False
7714,spottedcowcreations.co.uk,False
7715,spottynstripy.co.uk,False
7716,spottyshed.co.uk,False
7717,spreadbutter.co.uk,False
7718,springboardsupplies.co.uk,False
7719,sprintandtrackday.co.uk,False
7720,sprocketandgear.co.uk,False
7721,sprockies.co.uk,False
7722,sproutchildrenswear.co.uk,False
7723,hybrid-fit.co.uk,True
7724,hydehives.co.uk,False
7725,hydrafilters.co.uk,False
7726,hydralyte.co.uk,False
7727,hydronation.co.uk,False
7728,hydropeptide.co.uk,False
7729,hydrosilex.co.uk,True
7730,hydsneakers.co.uk,False
7731,hyfiveproducts.co.uk,False
7732,hygienesupplier.co.uk,False
7733,hygienichandles.co.uk,False
7734,hylunia.co.uk,False
7735,hylus.co.uk,True
7736,hyosungspares.co.uk,False
7737,hypegarments.co.uk,False
7738,hyperbrands.co.uk,False
7739,hyperflux.co.uk,False
7740,hypesource.co.uk,False
7741,hypewins.co.uk,False
7742,hypnotica.uk,False
7743,hypoband.co.uk,True
7744,laayo.co.uk,False
7745,lab3l.co.uk,True
7746,labante.co.uk,False
7747,label-source.co.uk,False
7748,labeldaddy.co.uk,False
7749,labelledlondon.co.uk,False
7750,labellemakeup.co.uk,False
7751,labels4school.co.uk,False
7752,labottegamilanese.co.uk,False
7753,lacesout.co.uk,False
7754,lacookshop.co.uk,False
7755,lacremegifts.co.uk,False
7756,lactigo.co.uk,False
7757,lacuvion.co.uk,False
7758,ladedaboutique.co.uk,True
7759,ladleedirect.co.uk,True
7760,ladyaccess.co.uk,False
7761,ladybiker.co.uk,True
7762,ladybirdplantcare.co.uk,True
7763,ladyboxx.co.uk,False
7764,ladyflare.co.uk,False
7765,ladywoodlogs.co.uk,False
7766,lafrenchmaison.co.uk,False
7767,lagomdesign.co.uk,True
7768,lagym.uk,False
7769,laidbareskincare.co.uk,True
7770,lainfordbutchers.co.uk,False
7771,lakedeborah.co.uk,False
7772,lakehomeandleisure.co.uk,False
7773,lakelandmues.co.uk,True
7774,lakesides.co.uk,False
7775,lakeu.co.uk,False
7776,light-therm.co.uk,False
7777,lightdrinks.co.uk,True
7778,lighthouseclothing.co.uk,False
7779,lighthouselane.co.uk,True
7780,lighthousetattoo.co.uk,False
7781,lighting-style.co.uk,False
7782,lightingcentre.co.uk,True
7783,lightingexperts.co.uk,False
7784,lightingsync.co.uk,False
7785,lightlash.co.uk,False
7786,lightsgo.co.uk,False
7787,lightupyourroom.co.uk,False
7788,lightwaydaylight.co.uk,False
7789,ligote.co.uk,False
7790,liho.co.uk,False
7791,lijolondon.co.uk,False
7792,likeskincare.co.uk,False
7793,lilacroom.co.uk,False
7794,lilahausinteriors.co.uk,False
7795,lilbitslimited.co.uk,True
7796,lilcubs.co.uk,True
7797,lilienstahl.uk,False
7798,lilieslondon.co.uk,False
7799,lilithloveshenry.co.uk,False
7800,lilithsnight.co.uk,False
7801,lilliandaph.co.uk,False
7802,lillyandbo.co.uk,False
7803,lillyandthorn.co.uk,False
7804,lillyannlondon.co.uk,False
7805,lillybel.co.uk,False
7806,liloucollection.co.uk,False
7807,lilsomething.co.uk,False
7808,lilyandbean.co.uk,False
7809,lilyandfred.co.uk,False
7810,lilyandthorn.co.uk,False
7811,lilybels.co.uk,False
7812,lilyday.co.uk,False
7813,lilygracekeepsakes.co.uk,False
7814,lilyhair.co.uk,False
7815,lilyking.co.uk,True
7816,lilysboutiques.co.uk,False
7817,lilysloft.co.uk,False
7818,peace-and-love.co.uk,False
7819,peaceloveandplants.co.uk,False
7820,peachfitness.co.uk,False
7821,peanutandboo.co.uk,False
7822,pearl-lang.co.uk,False
7823,pearllowe.co.uk,True
7824,pearls.co.uk,True
7825,pearsboutique.co.uk,True
7826,peatys.co.uk,False
7827,pebbleandleaf.co.uk,False
7828,pebbleandpine.co.uk,True
